2,naveen,1234567098
1,naveen,1234567890
1,naveen,8933838383
1,naveen,1234567890
1,naveen,1234567890
1,naveensivam,1234567890
1,naven,1111111111
1,root4,1222222222
1,naveen,1111111111
1,naveen,9999999999
1,qqqq,1111111111
1,naveen,1111111111
1,nnnnnn,1111111111
1,zzzzz,1111111112
1,xxxxx,1122334455
1,qqqq,1111111112
1,aaaaa,2222222222
2,qqqqq,1234556789
1,aaaaaaaaaaa,1111111112
1,naveen,9363589547
1,naveen,1111112223
1,"from tkinter import *
from tkinter import messagebox, ttk
import csv
from PIL import Image, ImageTk
from customtkinter import *

global ue
global order
order = 1
two_seats = [""2A"", ""2B"", ""2C"", ""2D""]
four_seats = [""4A"", ""4B"", ""4C"", ""4D""]
six_seats = [""6A"", ""6B"", ""6C""]
eight_seats = [""8A"", ""8B"", ""8C""]

class queue:
    def __init__(self):
        self.queue = []

    def add(self, item):
        self.queue.append(item)

    def enqueue(self, item):
        self.queue.insert(len(self.queue), item)
        return self.queue

    def dequeue(self):
        x = self.queue[0]
        del self.queue[0]
        return x

q = queue()

def writetreetocsv(root, filename):
    data = root.collectdata()
    with open(filename, mode='w', newline='') as file:
        writer = csv.writer(file)
        writer.writerow(['Name', 'Value', 'Level'])  # Writing header
        writer.writerows(data)

def loadtreefromcsv(filename):
    nodes = []
    with open(filename, mode='r', newline='') as file:
        reader = csv.reader(file)
        next(reader)  # Skip the header
        for row in reader:
            name, value, level = row[0], row[1], row[2]
            if value == '':
                value = None
            else:
                try:
                    value = value
                except ValueError:
                    value = value
            nodes.append((name, value, level))",1212123456
2,nnn,2223334445
1,nnn,1234444556
1,NAVEEN,1234556678
2,SIVAM,9988776786
1,naveen,1234556789
2,sivam,6666777788
1,naveen,8389484389
1,naveen,4546789676
1,naveen,1234675890
1,naveen,6666556677
1,naveen,4455667788
2,naveensivam,9363589547
1,ttttttt55,5555555555
2,nfffr4,4433444444
1,ffffff,5555555555
1,naven,5555555555
2,gggg,4455667788
1,mnmnm,2225558889
2,mnm,2223334445
1,bbbbb,2255441133
2,njdk,7788556699
3,jkh,4123698755
1,mnmnmn,3465976431
1,mnmnmn,1236547895
2,mnmn,4455445524
1,njdf,5666666666
2,yyy,4444444444
1,bbbb,1111111111
1,bbb,5555555555
2,kkg,5555666666
1,naveen,4444445555
2,nssss,4444444333
1,ggg,4444444444
1,22,2366663311
1,fff,2225556664
2,5,6666666666
3,kdf,8888888888
1,ndndfd,2222222222
1,nnn,1255555555
1,fff,5555555555
1,444,5555555555
2,jkdf,6666666666
1,nnnnn,8888888888
2,bbb,9999999999
1,ngf,3334445556
2,rr,4444444445
1,mmm,7777777777
2,lll,9999999999
1,naveen,3333333333
2,sivam,4444444444
1,naveen,8383838383,naveensivam14@gmail.com
1,mmnn,8888888888
1,nmnmnm,2222222222
1,nnn,7777777777
1,naveen,9363589547
2,naveen,2222222222
1,ddd,3333333333
1,naveen,9363589547
